Elastic modulus	Materials science, Mechanics
Birth defect	Terminology, Medicine stubs, Medicine, Genetics, Health problems, Genetic disorders
Scrambled eggs	Egg dishes, Breakfast foods
Elizabeth of Bohemia	1596 births, 1662 deaths, House of Stuart, Kings and Queens consort, Electors and Electresses, Bohemia
TAM Airlines	1961 establishments in South America, Star Alliance, Airlines of South America, Economy of Brazil, 1960s establishments in Brazil
Limb	Limbs and extremities
Natalee Holloway	1986 births, Aruba, Missing American people, People declared dead in absentia, People from Alabama, Year of death unknown
Australosphenida	Monotremes
Steropodontidae	Monotremes
Steropodon	Monotremes
Kollikodon	Monotremes
Teinolophos	Monotremes
Obdurodon	Monotremes
Curtiss P-40 Warhawk	United States Army aircraft, Royal Air Force aircraft, Australian military aircraft, World War II American aircraft
Flying Tigers	World War II, United States military aircraft, United States Army, United States Navy, United States Marine Corps
Shusha	Caucasus, Cities in Azerbaijan, Districts of Azerbaijan, Settlements in Azerbaijan, Nagorno-Karabakh Republic, 1750s establishments, Establishments in Azerbaijan
Doritos	Snack foods
Mount Silverthrone	Volcanoes of British Columbia, Mountains of British Columbia
AIM-9 Sidewinder	Missiles, Air force, Military aviation
X-intercept	Mathematics
Liberty	Human issues, Philosophy, Freedom, Politics
Dignity	Human issues, Virtues
Voluntary association	Organizations
Helen Keller	1880 births, 1968 deaths, Blind people, Industrial Workers of the World, Nonviolence advocates, People from Tuscumbia, Alabama, Writers from Alabama, Deaf people
Pausanias (geographer)	Ancient Greece, Greek geographers
Dignitas	Ancient Rome
Tacitus	110s deaths, Ancient Roman historians, 50s births
Connotation	Logic
Margrave	History of Germany, Royalty and nobility
Meppel	Cities in the Netherlands, Settlements in Drenthe, Municipalities of Drenthe
Diego Velázquez de Cuéllar	1465 births, 1524 deaths, History of Cuba, History of Spain, Spanish military people
Denotation	Philosophy, Logic
Victoria Silvstedt	1974 births, Living people, Swedish models
Doner kebab	Middle Eastern foods
Murder of Meredith Kercher	2007 in Europe, 2000s in Italy, 2000s murders in Europe, British people murdered abroad, English murder victims, Murder in 2007, Murders by blade weapons, People murdered in Italy
Meredith Monroe	1968 births, Living people, American movie actors, American television actors
Michelle Williams (actress)	Golden Globe Award winning actors, Emmy Award winning actors, American child actors, American movie actors, American television actors, American stage actors, American voice actors, Actors from Montana, 1980 births, Living people, People from Kalispell, Montana
Pernilla Wiberg	Swedish skiers, 1970 births, Living people
Ebba von Sydow	1981 births, Living people, People from Gothenburg, Swedish journalists
Lulu (opera)	1930s operas, Compositions by Alban Berg, 1937
Howard University	Atlantic Soccer Conference, Colleges and universities in the District of Columbia, Oak Ridge Associated Universities, United Soccer Conference, 19th-century establishments in Washington, D.C., 1867 establishments in the United States
Seth MacFarlane	Biography with signature, 1973 births, Living people, American atheists, Webby Award winners, American movie actors, American television actors, American voice actors, Television producers, Television writers, Comedians from Connecticut, Democrats (United States), Actors from Connecticut
Tanuki	Japanese folklore
Megalibgwilia	Monotremes
Ajax the Great	People in Greek mythology
Phoenicia	Phoenicia
Seattle Seahawks	1974 establishments in the United States, 1970s establishments in Washington (state), Seattle Seahawks
Salisbury	Salisbury
Jan Ullrich	1973 births, Doping cases in cycling, German cyclists, Living people, People from Rostock, Sportspeople from Mecklenburg-Vorpommern, Tour de France winners, Vuelta a España winners
Lincoln, England	Settlements in Lincolnshire, County towns in England, Cities in England
Burj el-Barajneh	Beirut, 1948 establishments in Asia
Coelacanth	Lobe-finned fish, Living fossils
Tent city	Buildings and structures
Norwegian Refugee Council	Norway, Human rights organizations in Europe, 1946 establishments in Europe, 20th century establishments in Norway
Euphemism	Figures of speech
List of German Presidents and Chancellors by age	Germany-related lists, Lists of heads of state
Boscobel House	Buildings and structures in England
Wismar	Former urban districts of Mecklenburg-Vorpommern
Dysphemism	Figures of speech
Christian worship	Christian theology
Prose	Prose
Caper story	Genres
14 BC	14 BC
Death of Tina Watson	2003 crimes, 2003 deaths, American manslaughter victims, Crime in Australia, Deaths by drowning, People from Alabama, Queensland, 2000s in Australia
City of Wakefield	Wakefield
Io (moon)	Jupiter's moons
Cormorant	Cormorants, Pelecaniformes
2006 Tour de France	2006 in sports, 2000s in France, Sport in Belgium, Sport in France, Tour de France
Beth Phoenix	1980 births, Living people, American professional wrestlers, WWE wrestlers, Female professional wrestlers, Sportspeople from New York
Cartridge (firearms)	Ammunition
Hong Kong Island	Geography of Hong Kong, Islands of China
Communist Party of China	Politics of the People's Republic of China, Communist parties
Tatar language	Turkic languages, Languages of Russia
House of Medici	House of Medici, Papal families, Grand Duchy of Tuscany
Giordano Bruno	1548 births, 1600 deaths, 16th century philosophers, Italian astronomers, Italian mathematicians, Italian philosophers, Italian Roman Catholics, Italian writers, People executed by burning
Wheel of Fortune (US game show)	Television game shows, First run syndicated television programs, English-language television programs, 1975 television series debuts
Shalom	Judaism, Words
Villa Gordiani	Parks, Rome
Massachusetts Bay Colony	17th century in Massachusetts, Former British colonies
About a Girl (TV series)	2007 television series debuts, 2008 television series endings, 2000s Canadian television series, Sitcoms, Teen television series, English-language television programs
Number line	Mathematics, Numbers
Tunicate	Chordates
Zheng He	1371 births, 1433 deaths, Admirals, Chinese military people, Chinese diplomats, Asian explorers, Sailors
List of elements	Chemical elements, Chemistry lists
Georg Büchner Prize	Literary awards, Darmstadt
Brigham Young University Hawaii	Colleges and universities in Hawaii, Mormonism, 1955 establishments in the United States, 20th-century establishments in Hawaii
Australopithecus africanus	Australopithecines
Australopithecus	Australopithecines
Homo	Hominins
Poverty in India	Economy of India, History of India, Poverty
The Christian Community	Protestant denominations
List of Melbourne railway stations	Railway stations in Melbourne, Rail transport lists
Flag of Kurdistan	Kurdistan, Flags of Asia, Flags of country subdivisions
Vector graphics	Computer graphics, Vector graphics
Silence (band)	German rock bands, German heavy metal bands
Georg Büchner	1813 births, 1837 deaths, Deaths from typhus, Disease-related deaths in Switzerland, Playwrights, Writers from Hesse
Ludwig Büchner	1824 births, 1899 deaths, German philosophers, People from Darmstadt, Writers from Hesse
Goitre	Diseases
Cincinnati Reds	Cincinnati Reds, Sports in Cincinnati, Ohio, 1869 establishments in the United States, 19th-century establishments in Ohio
Josh Beckett	1980 births, Living people, American baseball players, Boston Red Sox players, Sportspeople from Texas, Los Angeles Dodgers players
Curt Schilling	1966 births, Living people, People with cancer, People from Anchorage, Alaska, American baseball players, Boston Red Sox players, Arizona Diamondbacks players, Sportspeople from Alaska, National League All-Stars
Adam Dunn	1979 births, American baseball players, American football quarterbacks, American League All-Stars, Arizona Diamondbacks players, Chicago White Sox players, Cincinnati Reds players, Living people, National League All-Stars, Oakland Athletics players, Sportspeople from Houston, Texas, Washington Nationals players
Stroke	Stroke
The Wheel of Fortune	Mythology, Middle Ages
Raster graphics	Computer graphics
Postscript	Programming languages
Horse chestnut	Trees, Sapindaceae
Francisco Pizarro	1471 births, 1541 deaths, Spanish explorers, History of Central America, People from Extremadura, Lima
Bingo	Games
9 (number)	Square numbers, Integers
5 (number)	Integers, Prime numbers
Hurling	Team sports, Sport in Ireland
6 (number)	Integers
4 (number)	Square numbers, Integers, Mathematics
7 (number)	Integers, Prime numbers
8 (number)	Integers
Donatello	Italian sculptors, People from Florence, 1466 deaths, 1386 births
Sarah Bernhardt	1844 births, 1923 deaths, Deaths from uremia, Actors from Paris, Burials at Père Lachaise Cemetery, Deaths from renal failure, Disease-related deaths in France, French autobiographers, French stage actors
Kevin Rudd	1957 births, Living people, Australian Anglicans, Australian Labor Party politicians, Australian ministers for Foreign Affairs, Commonwealth Chairpersons-in-Office, Leaders of the Opposition (Australia), People from the Sunshine Coast, Queensland, Politicians from Queensland, Prime Ministers of Australia, Republicans
Hurley (stick)	Sports equipment
Sliotar	Sports equipment
Camogie	Sport in Ireland
Rounders	Team sports
Cricket (insect)	Gryllidae, Orthoptera
Rounders (movie)	1998 drama movies, Buddy movies, American drama movies, Miramax movies, Multilingual movies, American independent movies
Gaelic Athletic Association	Sport in Ireland
Gaelic Games	Sports competitions, Sport in Ireland, Sport in Northern Ireland
Gaelic handball	Handball, Sport in Ireland
American handball	Handball
Fives	Handball
Miami Heat	National Basketball Association teams, Sports in Miami, Florida, 1988 establishments in the United States, 1980s establishments in Florida
Buttress	Architectural elements, Walls
Real tennis	Tennis
Jeu de paume	Handball, Sport in France
Palace of Versailles	Palace of Versailles, Former royal residences
Château	Houses
Positron	Elementary particles, Antimatter
Basque pelota	Sports
Pump-jet	Engineering
Propulsor	Engineering
Valencian language	Valencià, Romance languages, Valencia (autonomous community)
Valencian pilota	Handball, Sport in Spain
Trapezoid	Polygons
Frisian handball	Handball, Frisian culture
Gaelic football	Football, Sport in Ireland
Caid (sport)	Sport in Ireland
Longue paume	Handball
Pallone	Sport in Italy
Palla	Sport in Italy
Storm history of Hurricane Katrina	Hurricane Katrina, Storm histories of tropical cyclones
Troposphere	Layers of Earth's atmosphere
Rapid deepening	Meteorology, Tropical cyclones
Doppler radar	Technology
Horseshoe crab	Chelicerata, Living fossils
Atlantic hurricane	Atlantic Ocean, Hurricanes
Buras-Triumph, Louisiana	Unincorporated communities in Louisiana
Dry Tortugas	Florida Keys, National parks in the United States, Biosphere reserves
Aventura, Florida	Cities in Florida
Florida Keys	Islands of Florida
Climatology	Climate
Harder, Better, Faster, Stronger	2001 songs
Fiona Apple	1977 births, Living people, American pianists, Singer-songwriters from New York, American rock singers, Grammy Award winners, Singers from New York City
Pastor	Christian religious occupations
Egyptology	Egypt, Archaeology, Ancient Egypt
Lichfield	Towns in Staffordshire, Cities in England, Civil parishes in Staffordshire
New France	Historical territories of Canada, 1534 establishments, 1760s disestablishments, 1530s establishments in North America, Establishments in Canada, 16th century establishments in France
El Llano, Elías Piña	Settlements in Dominican Republic, 1974 establishments in North America, 1970s establishments in the Dominican Republic
Hondo Valle, Elías Piña	Settlements in Dominican Republic, 1978 establishments in North America, 1970s establishments in the Dominican Republic
Juan Santiago, Elías Piña	Settlements in Dominican Republic, 2005 establishments in North America, 21st-century establishments in the Dominican Republic
Río Limpio, Elías Piña	Settlements in Dominican Republic, 1992 establishments in North America, 1990s establishments in the Dominican Republic
Sabana Cruz, Elías Piña	Settlements in Dominican Republic
Sabana Larga, Elías Piña	Settlements in Dominican Republic, 2004 establishments, 21st-century establishments in the Dominican Republic
Destiny Fulfilled	Destiny's Child albums
Kanal 5	Television networks
Decadence	Culture, Ethics, Literature, Painting, Pop music
Kanye West	1977 births, Living people, African American musicians, American rap musicians from Georgia, Grammy Award winners, 2020 United States presidential candidates, Businesspeople from Atlanta, Georgia, Singers from Atlanta, Georgia, Businesspeople from Chicago, Singers from Chicago, Kanye West, Kardashian family, Businesspeople from Wyoming, Singers from Wyoming, People with bipolar disorder, American Christians
Giro Manoyan	Armenian politicians, Living people, Year of birth missing (living people)
Castleton, Derbyshire	Villages in Derbyshire
Los Angeles Lakers	National Basketball Association teams, Sports in Los Angeles, 1947 establishments in the United States, 1940s establishments in Minnesota
Asterix	Comic books
Hurdy gurdy	String instruments
List of magicians	Lists of entertainers, Magicians
Magician	Magicians, Entertainment occupations
Republic P-47 Thunderbolt	United States Army aircraft, World War II American aircraft
Judo	Judo, Sport in Japan
Humus	Agriculture, Soil
Soil science	Earth sciences, Soil
Queen's Counsel	Queen's Counsel
Pedogenesis	Geology
11 (number)	Integers, Prime numbers
12 (number)	Integers
Sedimentary rock	Sedimentary rocks, Sedimentology, Stratigraphy
14 (number)	Integers
Rock (geology)	Rocks
15 (number)	Integers
16 (number)	Integers, Square numbers
Weathering	Chemistry, Erosion
Recrystallisation	Chemistry, Laboratory techniques, Geology
Wildlife and Countryside Act 1981	1981 in the United Kingdom, Acts of the Parliament of the United Kingdom, United Kingdom-related lists
Soil classification	Geology, Engineering, Soil
Manor house	Houses
English country house	Houses
Larynx	Anatomy of the respiratory system
Endangered species	IUCN Red List endangered species, Endangered species
Archosaur	Archosaurs
MS Explorer	Cruise ships
Calcite	Minerals, Geochemistry
Stalagmite	Caves
Deposition (geology)	Geology
Calcium carbonate	Minerals, Geochemistry, Calcium compounds, Carbonates
Hard water	Water
Soft water	Water
Moorland	Habitats
Neotropic	Ecozones
Nearctic	Ecozones
Nearctic (horse)	1954 births, 1973 deaths, Thoroughbred racehorses
Lockerbie	Towns in Scotland
Circadian rhythm	Physiology
Stud (animal)	Animals
Castration	Reproductive system, Anaphrodisiacs
Bureaucracy	Sociology
Anzère	Ski areas and resorts in Switzerland, Villages in Valais
Sion, Switzerland	Sion, Switzerland
Brig (district)	Districts of Valais
Monthey, Switzerland	Municipalities of Valais, Cities in Switzerland
Sierre	Cities in Switzerland, Municipalities of Valais
Brig, Switzerland	Municipalities of Valais, Cities in Switzerland
Pennine Alps	Europe-related lists, Mountain ranges of the Alps, Mountains of Italy, Mountains of Switzerland, Geography of Valais, Piedmont, Valle d'Aosta
Bernese Alps	Europe-related lists, Mountain ranges of the Alps, Mountains of Switzerland
Armenian National Committee of America	Armenian diaspora, Political organizations based in the United States
Valais	Valais, Wine regions
Conthey (district)	Districts of Valais
Martigny, Switzerland	Municipalities of Valais, Cities in Switzerland
Mattertal	Geography of Valais, Valleys of Switzerland
Zermatt	Municipalities of Valais, Ski areas and resorts in Switzerland
Ajax the Lesser	People in Greek mythology
Post-nominal letters	Titles
Corvidae	Corvids
Visp	Municipalities of Valais, Cities in Switzerland
Saint-Maurice, Switzerland	Municipalities of Valais, Cities in Switzerland
Conthey	Municipalities of Valais, Cities in Switzerland
Entremont (district)	Districts of Valais
Santeri Palin	1983 births, Living people, Finnish people
Sembrancher	Municipalities of Valais, Cities in Switzerland
Münster-Geschinen	Former municipalities of Valais
Microbiotheria	Marsupials of Australia, Chile
Dasyuromorphia	Dasyuromorphia, Marsupials of Australia
Goat Rock Beach	Beaches of California, Sonoma County, California
Sea lion	Pinnipeds
Greywacke	Sandstones
Madeleine McCann	2003 births
Carmina Burana	Medieval literature, Latin language
Vex, Switzerland	Municipalities of Valais
Dasyuridae	Dasyuromorphia
Mohammed Zahir Shah	Monarchs of Afghanistan, Pashtun people, 1914 births, 2007 deaths, People from Kabul
Thurgau	Thurgau
Graubünden	Graubünden
Nidwalden	Nidwalden
Schaffhausen	Schaffhausen, Imperial free cities
Obwalden	Obwalden
Canton of Jura	Canton of Jura
French Community	International organizations, France
Usury	Types of crime, Property crimes
John Bates	US Republican Party politicians, Governors of Massachusetts, 1859 births, 1946 deaths, Lieutenant Governors of Massachusetts
Acoustic music	Music
Mandolin	Plucked string instruments
Bluegrass music	Bluegrass music
Billboard charts	Billboard charts
Leuk	Municipalities of Valais, Cities in Switzerland
Raron	Municipalities of Valais
Goms (district)	Districts of Valais
Shavo Odadjian	1974 births, Living people, Bassists, Armenian diaspora, DJs
Aspartame	Sweeteners
Saccharin	Sweeteners
Isomalt	Sweeteners
Sloth	Xenarthrans
Oberon (moon)	Uranus' moons
Delémont (district)	Districts of Jura
Xavier Rudd	1978 births, Living people, Australian singers, Musicians from Victoria (Australia), Australian guitarists, Didgeridoo players, Banjo players, Blues guitarists, Australian folk musicians
Banjo	Folk instruments, Bluegrass music, Plucked string instruments
Nicolás de Ovando	1460 births, 1511 deaths, History of the Dominican Republic, 16th century in Spain, People from Extremadura, Spanish military people, History of Haiti
Abelsonite	Minerals
Abenakiite-(Ce)	Minerals
Abernathyite	Minerals
Abhurite	Minerals
Animal Liberation Orchestra	Musical groups from California, American rock bands
Leftover Salmon	Musical groups from Colorado, American rock bands, Bluegrass bands, Boulder, Colorado, Musical groups established in 1989, 1989 establishments in the United States, 1980s establishments in Colorado, Musical groups disestablished in 2005, 2005 disestablishments in the United States
Internet meme	Internet memes
Morris Gleitzman	1953 births, Living people, Australian children's writers, Australian screenwriters, British children's writers, English screenwriters, Writers from Lincolnshire
Coaxial cable	Signalling
Abswurmbachite	Minerals
Acanthite	Minerals
Seven Lucky Gods	Japanese folklore, Japanese deities
Acetamide	Minerals
17 (number)	Integers, Prime numbers
Pectin	Food supplements
Pectobacterium carotovorum	Gram-negative bacteria
Jesus with erection	Controversies, 2006 in the United States, 21st century in Oregon
Giovanni Guaita	Italian writers, Italian historians, 1962 births, Living people
Cockatoo	Cockatoos
Bell P-39 Airacobra	United States Army aircraft, Bell aircraft, Soviet military aircraft, Royal Air Force aircraft, World War II American aircraft
Air Canada	1965 establishments in North America, 1960s establishments in Canada, Airlines of Canada, Companies listed on the Toronto Stock Exchange, Star Alliance, IATA members
Actinolite	Minerals
Buoy	Water transport, Navigation
Gulf Coast of the United States	Regions of the United States
Florida Panhandle	Geography of Florida
Loop Current	Oceans, Tropical cyclones, Ocean currents
National Weather Service bulletin for New Orleans region	Hurricane Katrina
Cesc Fàbregas	1987 births, Living people, Spanish footballers, Arsenal F.C. players, Chelsea F.C. players
Misery Guts	1998 books, Children's books
Brett Lee	Australian cricketers, Sportspeople from New South Wales, 1976 births, Living people, Wollongong
Otter	Mustelids, Mammals of North America, Mammals of Europe, Mammals of Asia
Medal of Honor	Military honors, Orders, decorations, and medals of the United States, 1863 establishments in the United States
Asynchronous Transfer Mode	Computer science
Blood type	Biochemistry, Blood
Trance music	Trance music
Acuminite	Minerals
Warthog	Pigs, Mammals of Africa
Moraine	Landforms
Silt	Geology
Catalytic converter	Machines
Adamite	Minerals
Six Flags Great Adventure	Six Flags Great Adventure, 1974 establishments in the United States, Theme parks in the United States, 1970s establishments in New Jersey
Adamsite-(Y)	Minerals
18 (number)	Integers
19 (number)	Integers, Prime numbers
21 (number)	Integers
Samuel Pepys	1633 births, 1703 deaths, Diarists, English writers, Fellows of the Royal Society, Presidents of the Royal Society
Jorge Guillén	1893 births, 1984 deaths, Spanish poets, People from Valladolid
Albatross	Procellariiformes, Seabirds
Proxima Centauri	Red dwarfs
San Jacinto fault	Geography of California, Faults
Dhammapada	Buddhist texts
Chant	Musical forms
Habenaria mossii	Orchids
22 (number)	Integers
23 (number)	Integers, Prime numbers
Adelite	Minerals
The Naked Brothers Band	Nickelodeon television series, 2006 television series debuts, English-language television programs
Matterhorn	Alps, Mountains of Italy, Mountains of Switzerland, Geography of Valais
Jura (department)	Wine regions of France, Departments in Bourgogne-Franche-Comté
Fray	Whedonverse, Comic books
Erik Satie	1866 births, 1925 deaths, 20th century composers, French composers, Deaths from cirrhosis
Arachniodes	Pteridophyta
Dryopteridaceae	Plant families, Pteridophyta
Particle size (grain size)	Geology
Rock flour	Agriculture
Virginia opossum	Marsupials
Motor ship	Ship types
24 (number)	Integers
25 (number)	Integers, Square numbers
Passo de Camaragibe	Cities in Alagoas
Radlin	Towns in Poland
Particle size (general)	Chemistry
Chichester	Settlements in West Sussex, Cities in England
Admontite	Minerals
Hydrology	Water, Earth sciences
Semicircle	Shapes
Hurricane Camille	1969 Atlantic hurricane season, Category 5 Atlantic hurricanes, Retired tropical cyclone names, Deadly storms, Hurricanes in the United States, 1960s in Cuba, 1969 in the United States, 20th century in Alabama, 20th century in Mississippi, 1960s in Louisiana
1935 Labor Day Hurricane	1935 in the United States, Category 5 Atlantic hurricanes, Hurricanes in the United States, 20th century in the Bahamas, 20th century in Florida, 20th century in Georgia (U.S. state), 20th century in South Carolina, 1930s in North Carolina, 20th century in Virginia
Vahan Totovents	Armenian writers, Armenian poets, 1893 births, 1938 deaths
Leonid Azkaldian	1942 births, 1992 deaths, Armenian military people, Physicists, People from Tbilisi
Central United States	Regions of the United States
International Committee of the Red Cross	Red Cross, Charities, 1863 establishments
Meridian, Mississippi	County seats in Mississippi, Cities in Mississippi, 1854 establishments in the United States, 19th-century establishments in Mississippi
Hydrometeorological Prediction Center	Meteorology
Côte-Nord	Regions of Quebec
Saguenay-Lac-Saint-Jean	Regions of Quebec
Plaquemines Parish, Louisiana	1807 establishments in the Territory of Orleans
Naiad (moon)	Neptune's moons
Tamsui	Settlements in Taiwan
Lovisa Aarberg	1803 births, 1860s deaths, Swedish scientists, People from Uppsala
Kisamor	1788 births, 1842 deaths, Swedish scientists
Amalia Lindegren	1814 births, 1891 deaths, Swedish painters
Thalassa (moon)	Neptune's moons
Bayerischer Rundfunk	German broadcasting companies, Munich
Circadian rhythm sleep disorder	Sleep disorders, Disability
Asian elephant	Elephants, Mammals of Asia
Karolina Bock	1792 births, 1872 deaths, Swedish actors, Swedish singers, Dancers
Lea Ahlborn	1826 births, 1897 deaths, Swedish artists, Printmakers
Hedda Hjortsberg	Swedish entertainers, Ballet dancers, Ballerinas, 1777 births, 1867 deaths
Despina (moon)	Neptune's moons
Chef	Chefs, Food-related occupations
St. Bernard Parish, Louisiana	Louisiana parishes, 1807 establishments in the Territory of Orleans
Slidell, Louisiana	Cities in Louisiana
St. Tammany Parish, Louisiana	1810 establishments in the United States, 19th-century establishments in Louisiana
Chewing gum	Candy
Herat	Cities in Afghanistan
Mobile, Alabama	County seats in Alabama, Cities in Alabama, 1700s establishments in the Thirteen Colonies, 1702 establishments
Relay race	Running
Bayou La Batre, Alabama	Cities in Alabama
Bay St. Louis, Mississippi	County seats in Mississippi, Cities in Mississippi
Waveland, Mississippi	Cities in Mississippi
Pass Christian, Mississippi	Cities in Mississippi
Long Beach, Mississippi	Cities in Mississippi, 1905 establishments in the United States
Gulfport, Mississippi	County seats in Mississippi, Cities in Mississippi
Gulfport-Biloxi-Pascagoula, Mississippi Combined Statistical Area	Mississippi
Gulfport-Biloxi metropolitan area	Mississippi
Biloxi, Mississippi	County seats in Mississippi, Cities in Mississippi, 1830s establishments in Mississippi, 1838 establishments in the United States
El Toro (roller coaster)	Six Flags Great Adventure, Roller coasters in New Jersey, Roller coasters by name, 2006 establishments in the United States, 2000s establishments in New Jersey
Galatea (moon)	Neptune's moons
Nguyen Hue	1753 births, 1792 deaths, Vietnamese people, Emperors and empresses
Mikoyan MiG-29	Soviet military aircraft, Indian military aircraft, Cold War
Emmy Rossum	1986 births, Living people, American movie actors, Actors from New York City
Bedouin	Ethnic groups in the Middle East, Ethnic groups in Africa
26 (number)	Integers
27 (number)	Integers
28 (number)	Integers
29 (number)	Integers, Prime numbers
31 (number)	Integers, Prime numbers
32 (number)	Integers
33 (number)	Integers
34 (number)	Integers
35 (number)	Integers
36 (number)	Integers, Square numbers
37 (number)	Integers, Prime numbers
Jewitchery	Paganism
Larissa (moon)	Neptune's moons
Borat Sagdiyev	Fictional characters introduced in 1996, Kazakhstani people, Comedy movie characters, Television characters
Dermatology	Dermatology
Maria Röhl	1801 births, 1875 deaths, Swedish artists, People from Stockholm
Basil Hume	1923 births, 1999 deaths, Benedictines, Cancer deaths in England, Cardinals of the Roman Catholic Church, English Roman Catholics, Monks, Order of Merit, People from Newcastle upon Tyne, Roman Catholic archbishops
Proteus (moon)	Neptune's moons
Nereid (moon)	Neptune's moons
38 (number)	Integers
39 (number)	Integers
41 (number)	Integers, Prime numbers
Ocean Springs, Mississippi	Cities in Mississippi
42 (number)	Integers
Gautier, Mississippi	Cities in Mississippi
Pascagoula, Mississippi	County seats in Mississippi, Cities in Mississippi
43 (number)	Integers, Prime numbers
44 (number)	Integers
Sonoma County, California	Sonoma County, California, 1850 establishments in California
45 (number)	Integers
46 (number)	Integers
Russian River	Rivers of California, Mendocino County, California, Sonoma County, California
47 (number)	Integers, Prime numbers
Halimede (moon)	Neptune's moons
Hurricane Katrina tornado outbreak	2005 in Florida, Hurricane Katrina, Tornado outbreaks, Tornadoes in the United States, 2005 in weather, August events, 2005 in Mississippi, 2005 in Alabama, 2000s in Georgia (U.S. state), 2000s in Virginia, 2005 in Pennsylvania
Square number	Square numbers, Number theory, Integer sequences
Miami-Dade County, Florida	Florida counties, 1836 establishments in the United States, 1830s establishments in Florida Territory
Broward County, Florida	Florida counties, 1915 establishments in the United States, 1910s establishments in Florida
Max Mayfield	American meteorologists, Scientists from Oklahoma City, 1948 births, Living people
Levee	Landforms
River delta	River deltas
Lockheed C-5 Galaxy	United States Air Force aircraft, Lockheed & Lockheed-Martin aircraft
Template (word processing)	Word processors
Hurricane Betsy	1965 in the United States, 1965 Atlantic hurricane season, Retired tropical cyclone names, Category 4 Atlantic hurricanes, Hurricanes, Hurricanes in the United States, 20th century in the Bahamas, 1960s in Florida, 1960s in Louisiana, Hurricanes in Louisiana
Houston Chronicle	Newspapers in the United States, Houston, Texas
Delta wing	Military aviation
Popular Mechanics	Science and technology magazines
Scientific American	Science and technology magazines, Monthly magazines
The Times-Picayune	Newspapers in the United States, New Orleans, Louisiana
Poultry	Poultry
Gas station	Transport, Fuel
Warehouse	Manufacturing buildings
Nursery (horticulture)	Agriculture, Plants
Credit union	Money
Tettigoniidae	Orthoptera
Bills, Bills, Bills	Destiny's Child songs, 1999 songs
Anna Maria Thelott	1683 births, 1710 deaths, Swedish artists, Engravers, People from Uppsala, Illustrators
Justina Casagli	Swedish singers, Swedish actors, 1794 births, 1841 deaths
48 (number)	Integers
49 (number)	Integers, Square numbers
Cynthia Lennon	1939 births, 2015 deaths, Cancer deaths in Spain, John Lennon, People from Blackpool, People from Cheshire, The Beatles
51 (number)	Integers
53 (number)	Integers, Prime numbers
52 (number)	Integers
54 (number)	Integers
55 (number)	Integers
Mandrill	Old World monkeys, Mammals of Africa
Carburization	Metallurgy, Metals
56 (number)	Integers
Sao (moon)	Neptune's moons
Dresden University of Technology	1828 establishments in Europe, 19th century establishments in Germany, Dresden, Technical colleges and universities in Germany
57 (number)	Integers
58 (number)	Integers
59 (number)	Integers, Prime numbers
Laomedeia (moon)	Neptune's moons
Tropical Storm Jerry (2007)	Atlantic tropical storms
Jenner, California	Settlements in Sonoma County, California, Cities in California
Tropical Storm Ingrid (2007)	Atlantic tropical storms
61 (number)	Integers, Prime numbers
67 (number)	Integers, Prime numbers
Psamathe (moon)	Neptune's moons
62 (number)	Integers
63 (number)	Integers
64 (number)	Integers, Square numbers
65 (number)	Integers
66 (number)	Integers
Tropical Upper Tropospheric Trough	Tropical cyclones, Meteorology
Leeward Islands	Caribbean islands
68 (number)	Integers
69 (number)	Integers
Saint Martin	Saint Martin
Antigua	Caribbean islands, Geography of Antigua and Barbuda
Tropical Storm Melissa (2007)	2007 Atlantic hurricane season, Atlantic tropical storms, September events
71 (number)	Integers, Prime numbers
Neso (moon)	Neptune's moons
Weather front	Meteorology
Subtropical ridge	Meteorology, Tropical cyclones
Vorticity	Fluid mechanics
Barbuda	Caribbean islands, Geography of Antigua and Barbuda
Émile Durkheim	1858 births, 1917 deaths, 19th century philosophers, 20th century philosophers, Agnostics, European anthropologists, French atheists, French philosophers, French socialists, French sociologists, Jewish atheists, Jewish French academics, Jewish French scientists, Jewish French writers, Jewish philosophers, People from Grand Est
Popcorn	Snack foods
Douglas SBD Dauntless	United States Navy aircraft, Douglas aircraft, United States Marine Corps aircraft, French military aircraft, World War II American aircraft
John Bardeen	1908 births, 1991 deaths, American engineers, American Nobel Prize winners, American physicists, People from Madison, Wisconsin, Scientists from Wisconsin, Theoretical physicists
Reconnaissance	Military
Cape Verde-type hurricane	Tropical cyclones
Windward Islands	Caribbean islands
List of professional wrestlers	Lists of professional wrestlers
Birth certificate	Identification documents
Vital record	Documents
Tzitzernavank Monastery	Monasteries, Armenian Apostolic Churches, Nagorno-Karabakh Republic
Hérens (district)	Districts of Valais
Leuk (district)	Districts of Valais
Martigny (district)	Districts of Valais
Mariner 10	Mariner program, Venus (planet)
Fender	American music companies, Musical instrument companies
Myra	Ancient history
Metis (moon)	Jupiter's moons
Goblin Valley State Park, Utah	Goblin Valley State Park, Utah, State parks in the United States
European Article Number	Everyday life, Barcodes
Carrefour, Haiti	Haiti
Mochi (food)	Rice
Donkey Kong (video game)	1981 video games, Nintendo Entertainment System games, Mario platform games, Atari 2600 games, Apple II games, Commodore 64 games, Famicom Disk System games, Game Boy Advance games, Donkey Kong
Léogâne	Cities in Haiti
Atlantic Beach, Florida	Cities in Florida, 1926 establishments in the United States, 1920s establishments in Florida
