Boeing Model 40	Boeing aircraft
Francisco Jesús Mendez Cestero	Spanish athletes, Living people, 1976 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, Spanish screenwriters, People from Barcelona
Dirk Klingenberg	1969 births, Living people, 1996 Summer Olympics, German Olympians, People from Duisburg, Sportspeople from North Rhine-Westphalia, German water polo players
Wedding March	Compositions by Felix Mendelssohn
María Beatriz Mendoza Rivera	Spanish athletes, Living people, 1975 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, People from the Canary Islands
Marta Arce Payno	Spanish judoka, Living people, 1977 births, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, 2004 Summer Paralympics, 2008 Summer Paralympics, 2012 Summer Paralympics, People from Valladolid, Sportspeople with disabilities, type B3
Jorge Nuñez Piris	Spanish athletes, Living people, 1976 births, Spanish Paralympic gold medalists, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, Sportspeople from Madrid
Vanesa Ortega Godoy	Spanish athletes, Living people, 1981 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2
Purificacion Ortiz Ortiz	Spanish athletes, Living people, 1972 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Sportspeople with disabilities, type T11, Sportspeople with disabilities, type B1, Sportspeople from Madrid
Francisco Javier Perez Canduelas	Spanish athletes, Living people, 1969 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, People from Valencia
Egoz (ship)	1961, Burials at Mount Herzl, Disasters in the 1960s, 1960s in Israel, 20th century in Morocco, Ships, Maritime disasters
Salvador (immigration ship)	1940, Bulgaria, Burials at Mount Herzl, Disasters in the 1940s, 1940s in Israel, Ships, Maritime disasters, December events
Patria disaster	1940, Disasters in the 1940s, Haifa, 1940s in Israel, Mandatory Palestine, Maritime disasters, Terrorist attacks, November events
Richard More	Mayflower passengers, 1614 births, 1696 deaths, People from Shropshire
Hector International Airport	Airports in the United States, Fargo, North Dakota
Grand Forks International Airport	Airports in the United States, Grand Forks, North Dakota
Denver International Airport	Airports in the United States, Denver, Colorado, Buildings and structures in Colorado, 1995 establishments in the United States, 1990s establishments in Colorado
PBR&B	R&B music, Hip hop genres
Sacrament of marriage	Roman Catholicism, Sacraments, Marriage
Marriage	Marriage, Sacraments, Relationships
Leila Ismailova	1989 births, People from Minsk, Living people, Models, Journalists, Azerbaijani television presenters
Tom Lehrer	1928 births, Living people, American singer-songwriters, American mathematicians, American pianists
Junior Eurovision Song Contest 2010	2010 in music, History of Belarus, Junior Eurovision Song Contest, Minsk
Juan António Prieto Cardenas	Spanish athletes, Living people, 1975 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, People from Andalusia
Julio Requena Hernandez	Spanish athletes, Living people, 1969 births, Spanish Paralympic gold medalists, Spanish Paralympic bronze medalists, 1992 Summer Paralympics, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T11, Sportspeople with disabilities, type B1
José Manuel Rodríguez Ibañez	Spanish athletes, Living people, 1965 births, Sprinters, Long jumpers, High jumpers, Triple jumpers, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, Sportspeople with disabilities, type T11, Sportspeople with disabilities, type B1, People from Madrid
Sergio Sanchez Hernandez	Spanish athletes, Living people, 1968 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, 1996 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, Sportspeople from Barcelona
The Discoverie of Witchcraft	16th century books, Witchcraft, Christian literature, Magic (paranormal)
Junior Eurovision Song Contest 2011	2011 in music, 21st century in Armenia, Junior Eurovision Song Contest, Yerevan, 2011 in Europe
José Antonio Sanchez Medina	Spanish athletes, Living people, 1970 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, Sportspeople from Madrid
Pyotr Todorovsky	1925 births, 2013 deaths, Cardiovascular disease deaths in Russia, Cinematographers, Deaths from myocardial infarction, Jewish screenwriters, People from Odessa, Russian Jews, Russian movie directors, Russian writers, Soviet Jews, Soviet military personnel of World War II, Soviet writers, Ukrainian Jews, Ukrainian writers
Enrique Sánchez-Guijo Acevedo	Spanish athletes, Living people, 1974 births, Spanish Paralympic gold medalists, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T11, Sportspeople with disabilities, type B1, People from Salamanca
Purificación Santamarta Bravo	Spanish athletes, Living people, 1962 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, Sportspeople with disabilities, type T11, Sportspeople with disabilities, type B1, Castile and León
José Benito Saura Mendez	Spanish athletes, Living people, 1978 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, People from the region of Murcia
José Luis Tovar Pavon	Spanish athletes, Living people, 1972 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, Sportspeople with disabilities, type T11, Sportspeople with disabilities, type B1
Frederick Ashton	Ballet dancers, Choreographers, 1904 births, 1988 deaths, British people
Alejo José Velez Cucalon	Spanish athletes, Living people, 1968 births, Long jumpers, High jumpers, Triple jumpers, Spanish Paralympic silver medalists, 1996 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, People from Zaragoza
James Sisnett	1900 births, 2013 deaths, Deaths from natural causes, British supercentenarians, Barbadian people, World record holders
Juan Viedma Castillo	Spanish athletes, Living people, 1970 births, Spanish Paralympic gold medalists, Spanish Paralympic bronze medalists, 1992 Summer Paralympics, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, Sportspeople with disabilities, type T12, Sportspeople with disabilities, type B2, Sportspeople from Barcelona
Junior Eurovision Song Contest 2012	2012 in Europe, 2012 in music, 2010s in the Netherlands, History of Amsterdam, Junior Eurovision Song Contest
Junior Eurovision Song Contest 2009	2009 in Europe, 2009 in music, 21st century in Ukraine, Junior Eurovision Song Contest, 21st century in Kiev, November events
Junior Eurovision Song Contest 2013	2013 in Europe, 2013 in music, 2010s in Ukraine, Junior Eurovision Song Contest, 21st century in Kiev, November 2013 events
Third Fleet	18th century in Australia, Navy, 1791
Antonio Cid Cortés	Spanish boccia players, Living people, 1954 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, Sportspeople with disabilities, type BC1, Galician people
Vör	Norse gods and goddesses
Rán	Norse gods and goddesses
Boccia	Paralympic Games, Boccia
2013 in movies	2013 movies
Jesús Fraile Moreno	Spanish boccia players, Living people, 1964 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Toledo, Spain, Sportspeople with disabilities, type BC2
Iron Man 3	2013 movies, Marvel Cinematic Universe movies, American action movies, English-language movies, Iron Man movies, Movies set in the 1990s, Drone movies, 2010s superhero movies, Screenplays by Shane Black
Miguel Angel Gomez Garro	Spanish boccia players, Living people, 1961 births, Spanish Paralympic gold medalists, 1996 Summer Paralympics, Sportspeople with disabilities, type BC1, People from Guipuzcoa
Yolanda Martin Franco	Spanish boccia players, Living people, 1954 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, 2008 Summer Paralympics, Sportspeople with disabilities, type BC1, People from Guipuzcoa
Penny Pritzker	1959 births, Living people, United States Secretaries of Commerce, US Democratic Party politicians, American Jews, Businesspeople from Chicago, Politicians from Chicago
Santiago Pesquera Blanco	Spanish boccia players, Living people, 1954 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, 2008 Summer Paralympics, People from La Rioja
María Hilda Rodríguez Rodríguez	Spanish boccia players, Living people, 1955 births, Spanish Paralympic gold medalists, 1996 Summer Paralympics, Galician people, Sportspeople with disabilities, type BC2
María del Carmen Chaves Calvo	Spanish cyclists, Living people, 1967 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, People from Barcelona
Farnham, Essex	Uttlesford, Villages in Essex, Civil parishes in Essex
Alston	Towns in Cumbria
The Agony and the Ecstasy	1965 drama movies, Epic movies, Movies based on books
Aythorpe Roding	Uttlesford, Villages in Essex, Civil parishes in Essex
Hadstock	Uttlesford, Villages in Essex, Civil parishes in Essex
Hempstead	Uttlesford, Villages in Essex, Civil parishes in Essex
Manuel Díaz Montava	Spanish cyclists, Living people, 1957 births, Spanish Paralympic gold medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Alicante
Langley	Uttlesford, Villages in Essex, Civil parishes in Essex
Lassie Come Home (movie)	1943 movies, Movies based on books, Movies about dogs
Raul Fernández Arrizabalaga	Spanish cyclists, Living people, 1972 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2004 Summer Paralympics, Sportspeople with disabilities, type B2, People from Asturias, Spanish judoka
Abelardo Gandía Valdés	Spanish cyclists, Living people, 1977 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Valencia
Antonio García Martínez (cyclist)	Spanish cyclists, Living people, 1956 births, Spanish Paralympic gold medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, 2008 Summer Paralympics, People from Seville
Juan Carlos Molina Merlos	Spanish cyclists, Spanish skiers, Living people, 1974 births, Spanish Paralympic gold medalists, 1994 Winter Paralympics, 1998 Winter Paralympics, 1996 Summer Paralympics, People from Granada, Sportspeople with disabilities, type B3
Elena María del Rocio Padrones Nieto	Spanish cyclists, Living people, 1973 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, People from Valladolid
María Belén Perez Sanchez	Spanish cyclists, Living people, 1973 births, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Granada
Gema Victoria Hassen-Bey González	Spanish fencers, Living people, 1962 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, 2008 Summer Paralympics, Sportspeople from Madrid, Writers from Madrid, Spanish journalists
María Cristina Perez Naranjo	Spanish fencers, Living people, 1965 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, People from Malaga
Aitzol Arzallus Lizeaga	Spanish footballers, Living people, 1978 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from San Sebastian, Sportspeople with disabilities, type C7, People from Guipuzcoa
Stefano Ranucci	1963 births, Living people, Italian academics, Italian businesspeople
Julian Galilea Martinez de Pinillos	Spanish footballers, Living people, 1978 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, People from La Rioja, Sportspeople with disabilities, type C7
José Ignacio Hurtado Echevarria	Spanish footballers, Living people, 1969 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from La Rioja, Sportspeople with disabilities, type C8
Chinese Rail DF4C	Co-Co locomotives, Rail transport in China, Locomotives of China
David Jimenez Alvarez	Spanish footballers, Living people, 1975 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Malaga, Sportspeople with disabilities, type C7
Santiago Lopez Fabregat	Spanish footballers, Living people, 1963 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Alicante, Sportspeople with disabilities, type C7
Borja Pardo Calero	Spanish footballers, Living people, 1979 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Madrid
Jorge Peleteiro Rubio	1979 births, Living people, 1996 Summer Paralympics, 2000 Summer Paralympics, People from the Community of Valencia, Plumbers, Spanish footballers, Spanish Paralympic bronze medalists
Milan Michálek	1984 births, Czech ice hockey players, Living people, Ottawa Senators players, San Jose Sharks players, American Hockey League players
Manuel Julian Rufo Gracia	Spanish footballers, Living people, 1975 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from Extremadura, Sportspeople with disabilities, type C8
Juan Carlos Taibo Lopez	Spanish footballers, Living people, 1978 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, People from A Coruña, Sportspeople with disabilities, type C8
Ivan Vazquez Basurco	Spanish footballers, Living people, 1975 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from San Sebastian, Sportspeople with disabilities, type C7, People from Guipuzcoa
Jesús María Visitacion Villan	Spanish footballers, Living people, 1966 births, Spanish Paralympic bronze medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from San Sebastian, People from Guipuzcoa
Viroflay	Communes in Yvelines
Mika (singer)	1983 births, Living people, British LGBT people, British pop musicians, British singer-songwriters, Gay men, LGBT singers, Musicians from Paris, People from Beirut, Singers from London
Stephen Hopkins (Mayflower passenger)	1581 births, 1644 deaths, Mayflower passengers, People from Hampshire
Junior Eurovision Song Contest 2003	2003 in music, 2003 in Europe, 21st century in Copenhagen, Junior Eurovision Song Contest
Junior Eurovision Song Contest 2004	2004 in music, 21st century in Norway, Junior Eurovision Song Contest, 2004 in Europe
Pal	1940 births, 1958 deaths, Individual dogs
Rudd Weatherwax	1907 births, 1985 deaths, Businesspeople from New Mexico
Governor of Hawaii	Governors of Hawaii
Commonwealth War Graves Commission	Commonwealth War Graves Commission, International organizations, 1917 establishments in Europe, 1910s establishments in the United Kingdom
Jerusalem British War Cemetery	Mount Scopus, Commonwealth War Graves Commission, Buildings and structures in Jerusalem, Cemeteries in Israel
Vár	Norse gods and goddesses
Sjöfn	Norse gods and goddesses
Forseti	Norse gods and goddesses
Nerthus	Norse gods and goddesses
Fulla	Norse gods and goddesses
Sága (goddess)	Norse gods and goddesses
Snotra	Norse gods and goddesses
Vili and Vé	Norse gods and goddesses
Borr	Norse gods and goddesses
Ēostre	Norse gods and goddesses
Elli	Norse gods and goddesses
Tiki	Polynesia, Mythology
John "Mule" Miles	1922 births, 2013 deaths, Deaths from natural causes, American baseball players, Sportspeople from San Antonio, Texas
Patch Adams	1945 births, Living people, American physicians, American activists, American entertainers, Chief executives, Scientists from Washington, D.C., Businesspeople from Washington, D.C., People from Arlington, Virginia, Businesspeople from Virginia, Scientists from Virginia
Division of Fremantle	Electoral divisions of Australia, 1901 establishments in Australia
Ensete	Musaceae
Arius	260s births, 336 deaths, Christian theologians, Egyptian Christians
Francisco Boedo Vazquez	Spanish judoka, Living people, 1959 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from A Coruña, Sportspeople with disabilities, type B2
Ancient Libya	History of Africa, Ancient history
Rafael Moreno López	Spanish judoka, Living people, 1966 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, 2008 Summer Paralympics, People from Malaga, Sportspeople with disabilities, type B2
Charles Fremantle	Western Australia, People from Perth, Western Australia, Royal Navy officers, 1800 births, 1869 deaths, Knights Grand Cross of the Order of the Bath
Eugenio Andres Santana Santana	Spanish judoka, Living people, 1959 births, Spanish Paralympic silver medalists, 1996 Summer Paralympics, 2000 Summer Paralympics, People from the Canary Islands, Sportspeople with disabilities, type B2
Carcharodontosauridae	Carnosaurs
José Luis Arribas Granados	1975 births, Living people, 1996 Summer Paralympics, Spanish Paralympic silver medalists, Spanish swimmers, Sportspeople from Madrid, Sportspeople with disabilities, type B2
Awasa	Cities in Ethiopia
Stenian	Mesoproterozoic
Ectasian	Mesoproterozoic
Calymmian	Mesoproterozoic
Statherian	Palaeoproterozoic
Orosirian	Palaeoproterozoic
Rhyacian	Palaeoproterozoic
Brandon Pirri	1992 births, Anaheim Ducks players, Living people, Canadian ice hockey centres, Chicago Blackhawks players, Florida Panthers players, New York Rangers players, Ice hockey people from Ontario, Sportspeople from Toronto, American Hockey League players
Siderian	Palaeoproterozoic
Shawn Lalonde	1990 births, American Hockey League players, Canadian ice hockey defencemen, Chicago Blackhawks players, Ice hockey people from Ontario, Living people, Ontario Hockey League players, People from Ottawa, Swedish Hockey League players
Sara Carracelas García	Spanish swimmers, Living people, 1981 births, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, Spanish Paralympic bronze medalists, People from Guipuzcoa, 1996 Summer Paralympics, 2000 Summer Paralympics, 2004 Summer Paralympics, 2008 Summer Paralympics, Sportspeople with disabilities, type S2
Chris Tarrant	British game show hosts, British radio personalities, People from Reading, Berkshire, Television personalities from Berkshire, 1946 births, Living people
Junior Eurovision Song Contest 2005	2005 in Europe, 2005 in music, 21st century in Belgium, Junior Eurovision Song Contest, November events
Neoarchaean	Eras, Archaean
Mesoarchaean	Eras, Archaean
Palaeoarchaean	Eras, Archaean
Bridal Chorus	Compositions by Richard Wagner
Eoarchaean	Eras, Archaean
Tom Kennedy	1927 births, 2020 deaths, American game show hosts, Actors from Louisville, Kentucky
White flight	Politics, Migration, History of the United States
Climate of California	California, Climate
Jack Warden	1920 births, 2006 deaths, Deaths from renal failure, American movie actors, American television actors, American voice actors, American stage actors, Actors from Louisville, Kentucky, Actors from Newark, New Jersey, Emmy Award winning actors
Chinese Rail SS4	Bo-Bo locomotives, Locomotives of China
Wally Cox	1924 births, 1973 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American voice actors, American stage actors, American radio actors, American radio personalities, Actors from Detroit, Michigan, Actors from Chicago, Actors from New York City, Comedians from Chicago, Comedians from New York City, Television personalities from Chicago, Television personalities from New York City
Allen Swift	1924 births, 2010 deaths, Deaths from heart failure, American movie actors, American television actors, American voice actors, American stage actors, American radio actors, American radio personalities, American painters, Actors from New York City, Television personalities from New York City
Gene Deitch	1924 births, 2020 deaths, Deaths from bowel obstruction, American animators, American illustrators, Artists from Chicago, Movie directors from Chicago, Movie producers from Chicago
Benjamin C. Bradlee	1921 births, 2014 deaths, Deaths from Alzheimer's disease, American journalists, Writers from Boston, Massachusetts, Presidential Medal of Freedom recipients
Harry M. Rosenfeld	1929 births, 2021 deaths, Deaths from the COVID-19 pandemic in the United States, American journalists, German writers, Naturalized citizens of the United States, People from Berlin, Writers from New York City
Howard Simons	1929 births, 1989 deaths, Deaths from pancreatic cancer, Cancer deaths in Washington, D.C., American journalists, Writers from New York, People from Albany, New York
Ed Shaughnessy	Deaths from myocardial infarction, Musicians from New Jersey, Singers from New York City, 1929 births, 2013 deaths, People from Jersey City, New Jersey
Mark Felt	1913 births, 2008 deaths, American lawyers, Cardiovascular disease deaths in the United States, Deaths from heart failure, Politicians from Idaho, Writers from Idaho, Spies
Thomas Nast	1840 births, 1902 deaths, American artists, American cartoonists, Deaths from infectious disease, Naturalized citizens of the United States, Writers from New York City
Mo Farah	1983 births, Living people, 2008 Summer Olympics, Black British sportspeople, British male athletes, British Olympic gold medalists, Medalists at the 2012 Summer Olympics, Medalists at the 2016 Summer Olympics, People from Mogadishu
Black gospel	Christian music, Afro-American religion
Australia's Next Top Model	Top Model television series, Australian television, English-language television programs
Australia's Next Top Model, Cycle 7	Australian television, Top Model television series
Vito Corleone	Fictional criminals, Movie characters
Morgan le Fay	Arthurian legend
Buddhist calendar	Calendars, Buddhism
Harvey Lembeck	American stage actors, American movie actors, American television actors, 1923 births, 1982 deaths
Beach movie	Movie genres
Miriam	Given names, Old Testament people, Ancient Israeli people
Religion in Vietnam	Religion in Vietnam
Rich Fields	American television personalities, American radio personalities, People from Ohio, 1960 births, Living people
Outlaw motorcycle club	Motorcycles, Gangs
Margaret Colin	Actors from New York City, American television actors, 1958 births, Living people
Archie Barton	1936 births, 2008 deaths, Indigenous Australian activists, People from South Australia, Order of Australia, Pitjantjatjara
Fever (Kylie Minogue album)	2001 albums, Kylie Minogue albums, Dance pop albums
Outlaw biker movie	Movie genres
Pink Angels	1971 comedy movies, 1970s LGBT movies, American comedy movies, American LGBT movies, English-language movies, Exploitation movies, Outlaw biker movies
Richard Karn	American television actors, American game show hosts, 1956 births, Living people, Actors from Seattle, Washington
Psychomania	1970s adventure movies, 1973 horror movies, British adventure movies, British horror movies, Outlaw biker movies, Exploitation movies, Movies directed by Don Sharp
Dan Haggerty	American television actors, American movie actors, Actors from Wisconsin, Deaths from spinal cancer, Cancer deaths in California, 1942 births, 2016 deaths
UFC 160	Ultimate Fighting Championship events, 2013 in mixed martial arts, 2013 in the United States, 21st century in Nevada
Glen or Glenda	1953 movies, Movies directed by Ed Wood, Movies about dreams
La Soufrière (volcano)	Geography of Saint Vincent and the Grenadines, Volcanoes of North America
Dracula (1931 movie)	1931 movies, Horror movies, 1930s horror movies, Black-and-white movies, Dracula movies, Movies based on books, Movies based on plays, United States National Film Registry movies, Universal Pictures movies, American horror movies
The Violent Years	1956 movies, American movies, English-language movies, Exploitation movies, Teen movies
Bride of the Monster	1956 movies, 1950s science fiction movies, 1950s horror movies, American science fiction horror movies, B-movies, Mad scientist movies, Monster movies, Movies directed by Ed Wood
Blind Melon	1990 establishments in the United States, 1990s American music groups, 2000s American music groups, 2010s American music groups, Alternative rock bands, Musical groups established in 1990, Musical groups from Los Angeles, California
Kelli McCarty	Actors from Kansas, 1969 births, Living people
Liberal, Kansas	Cities in Kansas, County seats in Kansas, Seward County, Kansas, 1888 establishments in Kansas
Western Australian Party	Political parties in Australia, 1906 establishments in Australia
Leicester Square	City of Westminster, Areas of London
Tropical Storm Matthew (2010)	Hurricanes, 2010 in weather, September 2010 events
École Centrale de Lille	Technical colleges and universities in France, 1854 establishments in Europe, Lille, 1850s establishments in France
Italian Union Movement	Political parties in Italy, 2010 establishments in Europe, 2010s establishments in Italy
Germany's Next Topmodel, Cycle 8	2013 in television, German television, Top Model television series, 2013 television seasons
Observable universe	Universe
Brezhnev Doctrine	History of the Soviet Union, Communism, 1968 establishments, 1989 disestablishments, 20th century establishments in the Soviet Union, Disestablishments in the Soviet Union
Comédie-Française	Buildings and structures in Paris, Theatres in France
Jim Thornton	American radio personalities, American television personalities, People from Huntington, West Virginia, 1965 births, Living people
William Brewster	1566 births, 1644 deaths, Mayflower passengers
Civil rights movements	Civil rights
Hōmyō dōji	Buddhism, Japanese folklore
Codex Huamantla	16th century books, Mexican people
Toshio Irie	1901 births, 1972 deaths, Politicians from Tokyo, University of Tokyo alumni
Aphrodite (album)	2010 albums, Kylie Minogue albums, Dance pop albums
Seokbosangjeol	Buddhism, Non-fiction books, 15th century books, Korean culture
Marc Chagall	Russian artists, 1887 births, 1985 deaths
Vincenzo Sangermano	Roman Catholic priests, Italian Roman Catholics, Missionaries, 1758 births, 1819 deaths
Goofy	Disney characters, Fictional characters introduced in the 1930s, Fictional dogs, Kingdom Hearts characters
Huey, Dewey and Louie	Disney characters, Fictional characters introduced in the 1930s, Fictional ducks
Abu Dhabi Authority for Culture & Heritage	United Arab Emirates, 1981 establishments in Asia, Government agencies, Cultural organizations, Establishments in the United Arab Emirates
Hjúki and Bil	Norse gods and goddesses
Sigyn	Norse gods and goddesses
William Hedges (Australian politician)	Commonwealth Liberal Party politicians, Members of the Australian House of Representatives, 1856 births, 1935 deaths
My So-Called Life	1994 American television series debuts, 1995 American television series endings, 1990s American drama television series, 1990s teen television series, ABC network shows, American LGBT television programs, American teen drama television series, High school television series, Pittsburgh in fiction, Television series about families, Television series about friendship, English-language television programs
Lee Strasberg	1901 births, 1982 deaths, Actors from New York City, American teachers, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, Jewish American actors, Movie directors from New York, Movie producers from New York
Bill Pertwee	1926 births, 2013 deaths, Actors from Buckinghamshire, Deaths from natural causes, English movie actors, English radio actors, English stage actors, English television actors, English voice actors, English writers
Zee Cine Awards	Movie awards
Arthur Lowe	1915 births, 1982 deaths, Actors from Derbyshire, Cardiovascular disease deaths in England, Deaths from stroke, English comedians, English movie actors, English radio actors, English radio personalities, English stage actors, English television actors, English voice actors, English television personalities
Peri Gilpin	American television actors, Actors from Texas, 1961 births, Living people, People from Waco, Texas
NRK1	Television stations, 1954 establishments in Europe, 20th century establishments in Norway
NML Cygni	Red giants, Variable stars, Hypergiants
Off-by-one error	Computer science
Logic error	Computer programming
Brandon, South Dakota	Cities in South Dakota
Frankenstein (1931 movie)	1931 movies, Movies based on books, American horror movies, Black-and-white movies, United States National Film Registry movies, 1930s horror movies, Frankenstein movies, Mad scientist movies, Monster movies, Universal Pictures movies
Cato the Younger	95 BC births, 46 BC deaths, European politicians, People who committed suicide, Roman people
The Mummy (1932 movie)	1932 movies, 1930s horror movies, American horror movies, Movies set in Egypt, The Mummy, Universal Pictures movies
Woolwich	Areas of London, London Borough of Greenwich
Sodium monofluoroacetate	Chemical compounds, Poisons
Marking knife	Woodworking tools, Cutting tools
Starburst galaxy	Starburst galaxies
List of One Day International cricket matches played by Bangladesh and England	Cricket lists, Sport in Bangladesh, Sport in England
Messier 82	Starburst galaxies
List of One Day International cricket matches played by Bangladesh and Scotland	Cricket lists, Sport in Bangladesh, Sport in Scotland
Baby boom galaxy	Starburst galaxies
Pontic Greek genocide	1910s, 1920s, 20th century in Greece, Genocide, 20th century in Turkey, Ottoman Empire
Passion Fish	1990s drama movies, 1992 movies, English-language movies, American independent movies
Poolesville High School	schools in the United States, Buildings and structures in Maryland
Alfre Woodard	Actors from Tulsa, Oklahoma, American television actors, American movie actors, American voice actors, 1952 births, Living people
Kamoya Kimeu	Kenyan scientists, Anthropologists, Paleontologists, 1940 births, Living people
John Turner (Mayflower passenger)	1566 births, 1644 deaths, Mayflower passengers, People buried in Cole's Hill
Monogram Pictures	Movie studios
Christopher Martin	Mayflower passengers, 1580s births, 1621 deaths, People buried in Cole's Hill
Ægir	Norse gods and goddesses
Andhrímnir	Norse mythology
Smoki Whitfield	1918 births, 1967 deaths, American movie actors, American television actors, Actors from Pittsburgh, Pennsylvania
Cycle of abuse	Sociology
Sköll	Norse mythology
Roy Rockwood	American writers
Light Years (Kylie Minogue album)	2000 albums, Kylie Minogue albums, Dance pop albums
Cockburn Town	Turks and Caicos Islands, National capitals in North America
Abdullah Gül	1950 births, Living people, Presidents of Turkey, Prime Ministers of Turkey, Honorary Knights Grand Cross of the Order of the Bath, Alumni of the University of Exeter
Turgut Özal	1927 births, 1993 deaths, Deaths from myocardial infarction, Presidents of Turkey, Prime Ministers of Turkey
Süleyman Demirel	1924 births, 2015 deaths, Deaths from respiratory tract infection, Presidents of Turkey, Prime Ministers of Turkey
Abdalá Bucaram	1952 births, Living people, Presidents of Ecuador, Ecuadorian lawyers, Mayors of Guayaquil
Rodrigo Borja Cevallos	1935 births, Living people, Presidents of Ecuador, People from Quito
León Febres Cordero	1931 births, 2008 deaths, Deaths from lung cancer, Deaths from emphysema, Presidents of Ecuador, Mayors of Guayaquil
Rosalía Arteaga	1956 births, Living people, Presidents of Ecuador, Vice Presidents of Ecuador
Cuenca, Ecuador	Cities in Ecuador
José María Velasco Ibarra	1893 births, 1979 deaths, Accidental deaths from falls, Presidents of Ecuador, People from Quito
